Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
0.7132	19.66777	19.59308	19.37273	19.1001	18.98433	19.28684	19.50718	19.71258	19.87753	19.66098	19.60226	19.3809	19.50683
3.21288	19.66737	19.59642	19.37607	19.0885	18.98394	19.29764	19.50305	19.71592	19.87715	19.65694	19.59821	19.37678	19.49545
5.71324	19.66332	19.5961	19.37202	19.08819	18.97989	19.2936	19.499	19.71561	19.87316	19.65295	19.59055	19.37272	19.49513
8.21297	19.65919	19.59944	19.37909	19.08779	18.97949	19.2932	19.50607	19.72268	19.8838	19.65624	19.59752	19.37607	19.50209
10.71308	19.67002	19.59906	19.38245	19.09862	18.97912	19.29282	19.50196	19.72231	19.86872	19.65218	19.58978	19.37567	19.49436
13.21306	19.66222	19.58379	19.37091	19.08335	18.97131	19.29249	19.50536	19.71824	19.8684	19.65186	19.58946	19.36788	19.4867
15.71334	19.65054	19.58705	19.37045	19.08661	18.97084	19.28081	19.49369	19.71403	19.87162	19.65141	19.58902	19.36368	19.48625
18.21402	19.65769	19.59421	19.37013	19.0863	18.97799	19.28423	19.4971	19.72118	19.86031	19.64377	19.58504	19.35964	19.48595
20.71387	19.64991	19.57895	19.36608	19.07851	18.97021	19.28018	19.49679	19.70593	19.86367	19.63978	19.58473	19.36306	19.4893
23.21373	19.64959	19.58237	19.36576	19.07819	18.96616	19.2836	19.49274	19.70561	19.86336	19.65416	19.58076	19.36648	19.49267
25.71356	19.63795	19.57447	19.35786	19.07776	18.95825	19.27196	19.48857	19.70518	19.86656	19.64635	19.58029	19.36974	19.48853
28.21441	19.64898	19.58176	19.35768	19.08505	18.96554	19.27925	19.49586	19.70874	19.86275	19.65354	19.58381	19.36212	19.48838
30.71428	19.64858	19.58136	19.36476	19.08466	18.96888	19.28633	19.4992	19.70834	19.86604	19.64583	19.57976	19.36174	19.48801
33.21411	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357	19.46357
35.71402	19.46691	19.45944	19.46317	19.4557	19.4557	19.47064	19.4557	19.45944	19.46682	19.45581	19.46315	19.47061	19.46682
38.21387	19.46295	19.46669	19.45922	19.45922	19.46295	19.46669	19.45922	19.46295	19.4666	19.4666	19.47027	19.46665	19.46293
40.71472	19.45143	19.45143	19.45143	19.45143	19.4477	19.46264	19.4589	19.46264	19.46263	19.46263	19.4663	19.47382	19.46997
43.21458	19.45477	19.4473	19.4473	19.43984	19.45104	19.46598	19.45477	19.46224	19.45858	19.45491	19.45124	19.45476	19.45491
