Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
79002.27572	22.88243	23.44952	23.8186	24.10153	24.22207	24.3258	24.42786	24.39245	24.40789	24.18065	23.89186	23.77094	23.4911	23.04623
79004.77597	22.64049	23.21859	23.61336	23.92199	24.03519	24.17195	24.31071	24.31934	24.3568	24.15159	23.89216	23.78225	23.50241	23.05387
79007.27622	22.43151	23.01695	23.4264	23.75704	23.87024	24.01802	24.19715	24.25716	24.30196	24.12979	23.88504	23.78247	23.51731	23.07243
79009.77647	22.23736	22.8228	23.24326	23.59593	23.70179	23.86791	24.08742	24.17679	24.25093	24.10445	23.87805	23.78649	23.52133	23.07646
79012.27672	22.13481	22.65418	23.07465	23.43833	23.54051	23.72499	23.96652	24.08525	24.17775	24.06062	23.85992	23.77203	23.53256	23.08769
79014.77697	22.10574	22.55905	22.95016	23.29181	23.40501	23.57481	23.84936	24.00113	24.11198	24.02789	23.84553	23.76498	23.53286	23.09532
79017.27722	22.0766	22.4932	22.83292	23.18192	23.2841	23.45023	23.74314	23.91326	24.05348	23.98774	23.82741	23.75787	23.53675	23.10656
79019.77647	22.07315	22.44204	22.75974	23.09405	23.19257	23.36237	23.64794	23.8364	23.98029	23.94391	23.80193	23.74707	23.53697	23.11412
79022.27672	22.05509	22.39462	22.6903	23.01727	23.10845	23.27091	23.55281	23.74862	23.92187	23.90016	23.77654	23.73268	23.53726	23.13276
79024.77697	22.05523	22.3654	22.62805	22.94401	23.04253	23.1903	23.48321	23.67535	23.84861	23.85627	23.75833	23.71815	23.54842	23.14025
79027.27722	22.04446	22.33994	22.58057	22.88552	22.97303	23.12447	23.40637	23.59851	23.79011	23.80511	23.72186	23.69636	23.53764	23.14048
79029.77747	22.04481	22.32195	22.54055	22.8455	22.92934	23.05876	23.34433	23.54014	23.73175	23.75776	23.69286	23.66736	23.52332	23.14818
79032.27772	22.04511	22.28921	22.50414	22.79808	22.88192	23.01134	23.2859	23.47804	23.677	23.71402	23.66013	23.65298	23.51628	23.15216
