Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
77.62076	21.27105	21.07285	20.83062	20.55713	20.71317	21.06918	21.2894	21.45089	21.15361	20.99212	20.80126	20.51498	20.48562	20.87834
80.12101	21.26753	21.07301	20.83444	20.55729	20.70966	21.07668	21.28955	21.44737	21.15376	20.99594	20.80508	20.52247	20.48577	20.87849
82.62126	21.26752	21.07299	20.83076	20.56475	20.71698	21.07667	21.29321	21.44736	21.15375	20.98859	20.80141	20.5188	20.48944	20.87481
85.12151	21.26767	21.07315	20.83091	20.56117	20.71347	21.07315	21.29336	21.45119	21.1539	20.98874	20.80156	20.51528	20.48959	20.86762
87.62076	21.27509	21.07323	20.83834	20.56872	20.71722	21.08424	21.30078	21.45126	21.16132	20.98882	20.80897	20.51535	20.48966	20.88238
90.12101	21.26414	21.08063	20.83105	20.56131	20.71727	21.07329	21.2935	21.45132	21.15405	20.98889	20.79804	20.5191	20.4824	20.88245
92.62126	21.26789	21.07337	20.84214	20.55766	20.71368	21.07704	21.30092	21.44406	21.15779	20.98529	20.80178	20.51183	20.48614	20.87152
95.12151	21.26797	21.07345	20.83488	20.56148	20.71009	21.07712	21.29366	21.44414	21.15053	20.97435	20.79451	20.51191	20.48254	20.87526
97.62176	21.26797	21.07345	20.83855	20.56148	20.70642	21.07345	21.28999	21.44414	21.15787	20.9817	20.80552	20.51925	20.48621	20.86792
100.12201	21.26085	21.06632	20.83143	20.5505	20.70297	21.07367	21.29388	21.44436	21.15809	20.98559	20.80208	20.5158	20.48643	20.87915
102.62226	21.26459	21.07741	20.8315	20.55805	20.71773	21.08108	21.30497	21.44811	21.15449	20.98199	20.80215	20.5122	20.48651	20.88289
105.12151	21.26099	21.06279	20.83157	20.55064	20.70678	21.06646	21.28301	21.44083	21.16191	20.98573	20.80222	20.51594	20.47924	20.8793
107.62176	21.26106	21.06654	20.82798	20.55446	20.71053	21.07021	21.28676	21.44458	21.15464	20.98948	20.8023	20.51235	20.47931	20.87937
110.12201	21.26106	21.06654	20.82431	20.55446	20.71053	21.07388	21.29043	21.44091	21.15831	20.98948	20.81331	20.51602	20.494	20.88671
112.62226	21.26495	21.08144	20.83186	20.56588	20.71441	21.08144	21.29798	21.4558	21.15486	20.99337	20.80986	20.51624	20.48688	20.87592
115.12251	21.25769	21.06684	20.8246	20.56223	20.71082	21.06684	21.28705	21.4412	21.15126	20.99344	20.80993	20.51631	20.48328	20.87599
117.62276	21.26159	21.06707	20.82483	20.55873	20.70372	21.07074	21.28728	21.44878	21.15149	20.97532	20.80282	20.51287	20.48718	20.87255
120.12301	21.25798	21.06346	20.83224	20.55506	20.70745	21.07447	21.29102	21.44517	21.1589	20.99007	20.80289	20.51661	20.48725	20.8763
122.62226	21.26548	21.0783	20.83606	20.55896	20.70761	21.07096	21.2875	21.44165	21.15538	20.99022	20.79936	20.5241	20.48739	20.87644
125.12251	21.26195	21.06376	20.82886	20.55537	20.70407	21.0711	21.28397	21.43812	21.14819	20.98669	20.80318	20.50222	20.47653	20.87292
127.62276	21.26945	21.07493	20.82902	20.55179	20.71157	21.06392	21.2878	21.44195	21.14832	20.98683	20.79964	20.51337	20.48767	20.88406
130.12301	21.25858	21.06405	20.82549	20.56314	20.70437	21.06772	21.28794	21.43842	21.15213	20.98697	20.80346	20.51351	20.48415	20.88054
132.62326	21.25872	21.06786	20.8293	20.55955	20.70084	21.06419	21.27707	21.43489	21.15595	20.98712	20.80728	20.521	20.49164	20.87701
135.12351	21.25887	21.06802	20.82211	20.5485	20.69732	21.06435	21.28089	21.43871	21.15977	20.98727	20.80376	20.52115	20.48812	20.87716
137.62376	21.25903	21.07185	20.83328	20.55987	20.70849	21.07919	21.28839	21.44254	21.15625	20.98742	20.8039	20.51395	20.48092	20.87364
140.12301	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081	20.93081
142.62326	20.93095	20.93462	20.91994	20.93469	20.93462	20.92728	20.93095	20.93095	20.94196	20.93829	20.94196	20.93095	20.9383	20.93829
145.12351	20.92384	20.93852	20.92384	20.92746	20.93852	20.93118	20.92751	20.93118	20.93118	20.93485	20.92751	20.92384	20.93118	20.92751
147.62376	20.93132	20.93866	20.92765	20.93133	20.93866	20.93131	20.93131	20.92765	20.93133	20.93133	20.92399	20.92032	20.93133	20.93133
150.12401	20.92781	20.93515	20.92781	20.93149	20.93515	20.93514	20.92781	20.93148	20.9278	20.92413	20.9278	20.92413	20.92413	20.9278
152.62426	20.9206	20.93529	20.92427	20.9279	20.92428	20.92427	20.92795	20.92427	20.92428	20.92061	20.92061	20.92061	20.93162	20.92061
155.12451	20.92441	20.92808	20.92441	20.92058	20.92441	20.92074	20.92808	20.92441	20.9281	20.92443	20.92443	20.91341	20.9281	20.92076
157.62376	20.92465	20.93199	20.92098	20.92455	20.93199	20.92832	20.93199	20.92832	20.93199	20.93199	20.92832	20.92465	20.92098	20.92832
160.12401	20.9322	20.94321	20.9322	20.93224	20.93588	20.92853	20.93587	20.92853	20.93221	20.92854	20.92854	20.91753	20.91753	20.92487
162.62426	20.92494	20.94329	20.92861	20.93232	20.93229	20.93228	20.92494	20.93595	20.92494	20.9176	20.92495	20.9176	20.92494	20.92495
165.12451	20.92508	20.93242	20.92508	20.925	20.92509	20.92508	20.92508	20.92875	20.92509	20.92509	20.92509	20.92142	20.92509	20.92509
167.62476	20.92165	20.92532	20.91797	20.9215	20.91798	20.91431	20.92165	20.92165	20.92164	20.91797	20.92164	20.92164	20.92532	20.92899
170.12501	20.91812	20.92546	20.91078	20.91418	20.92179	20.91812	20.91812	20.92179	20.9328	20.92546	20.92913	20.92546	20.92913	20.92546
172.62526	20.92193	20.92927	20.92192	20.92553	20.92927	20.92927	20.93294	20.92927	20.93662	20.92928	20.92928	20.91827	20.92928	20.92561
175.12451	20.92583	20.93317	20.91849	20.9295	20.93317	20.91849	20.9295	20.92583	20.9295	20.92216	20.9295	20.91849	20.92583	20.9295
177.62476	20.92238	20.93706	20.92605	20.92973	20.92605	20.92972	20.92605	20.92605	20.92972	20.92238	20.93339	20.92238	20.92238	20.91871
180.12501	20.91877	20.92978	20.91143	20.91859	20.92244	20.91877	20.92244	20.92611	20.92612	20.9298	20.93347	20.91512	20.92246	20.92613
182.62526	20.93007	20.93374	20.92273	20.93383	20.93741	20.9264	20.91906	20.92273	20.93009	20.92275	20.93009	20.92275	20.93009	20.93009
185.12551	20.92289	20.93757	20.93023	20.93025	20.92656	20.92289	20.91555	20.91922	20.93391	20.93391	20.93391	20.93024	20.92657	20.93758
187.62576	20.92672	20.93773	20.93039	20.93042	20.92672	20.92672	20.92672	20.92672	20.93773	20.93039	20.93773	20.93039	20.93406	20.93406
190.12601	20.91585	20.93053	20.91585	20.91936	20.93053	20.92686	20.91952	20.91585	20.94155	20.93421	20.94155	20.93421	20.94155	20.94155
192.62526	20.91239	20.92707	20.91973	20.91958	20.92708	20.91973	20.9234	20.92707	20.93076	20.93076	20.93443	20.92342	20.9381	20.93076
195.12551	20.92362	20.92729	20.91995	20.92354	20.93096	20.93463	20.92729	20.92729	20.93098	20.92731	20.93465	20.92731	20.92731	20.93465
197.62576	20.9237	20.93104	20.91269	20.91989	20.93104	20.92003	20.9237	20.92003	20.93472	20.93473	20.93472	20.92371	20.93106	20.93105
200.12601	20.92024	20.92759	20.91657	20.9201	20.91657	20.92024	20.91657	20.92391	20.93862	20.93495	20.94229	20.93862	20.94596	20.94596
202.62626	20.92413	20.92781	20.90945	20.9166	20.92046	20.92046	20.90945	20.91679	20.9315	20.93517	20.93517	20.93517	20.9315	20.93517
205.12651	21.00511	20.92804	20.90969	20.9131	20.91703	20.91336	20.91703	20.91703	20.93906	20.94273	20.94273	20.93172	20.93539	20.93906
207.62676	22.52481	21.59257	21.1081	21.01789	21.00533	20.9466	20.92458	20.91724	20.93928	20.93928	20.94662	20.93928	20.92827	20.93561
210.12601	23.91599	22.68646	21.69182	21.42209	21.31746	21.12293	20.95411	20.92107	20.9431	20.93576	20.9431	20.93576	20.93209	20.93943
212.62626	25.07225	23.70692	22.39664	21.96176	21.77271	21.43137	21.05334	20.9469	20.95426	20.93223	20.93957	20.93591	20.93591	20.93591
215.12651	26.04882	24.6211	23.09061	22.54562	22.28683	21.81337	21.22246	21.00959	20.98759	20.95088	20.94354	20.93253	20.93254	20.93621
