Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
1250.639	27.76269	27.39934	26.92588	26.48178	26.06704	25.4798	25.13113	24.94762	24.81915	24.8742	24.98798	25.12011	25.27059	
1253.139	28.08552	27.68913	27.18264	26.69817	26.25774	25.6338	25.25577	25.03188	24.86671	24.8924	24.99884	25.11261	25.25575	
1255.639	28.28358	27.89086	27.39171	26.92192	26.44846	25.79516	25.37308	25.11616	24.91428	24.9253	24.9987	25.10514	25.24094	
1258.139	28.5366	28.13654	27.62271	27.12356	26.64275	25.95642	25.49764	25.20769	24.97645	24.96911	25.01315	25.0939	25.2297	
1260.638	28.80057	28.39684	27.85365	27.34348	26.84066	26.1213	25.61847	25.29549	25.03856	25.01654	25.02021	25.10095	25.22574	
1263.138	28.89202	28.52132	28.0185	27.51935	27.00918	26.25679	25.73195	25.37593	25.09699	25.04561	25.0346	25.09333	25.2071	
1269.446	29.04933	28.70433	28.24188	27.78677	27.32065	26.60128	26.04708	25.62133	25.26531	25.16254	25.07813	25.10015	25.17355	
1270.95	29.21068	28.84733	28.35552	27.88206	27.39759	26.65987	26.10566	25.67257	25.31654	25.19542	25.09266	25.10734	25.1734	
1279.727	29.41914	29.12552	28.68877	28.25201	27.79323	27.05551	26.46093	25.96912	25.55071	25.39289	25.19103	25.13964	25.15432	
1281.232	29.5805	29.23917	28.78039	28.32528	27.85182	27.10676	26.51953	26.0167	25.59827	25.44045	25.21656	25.15784	25.15417	
1282.739	29.72716	29.37482	28.89402	28.41322	27.92874	27.16166	26.56342	26.06426	25.64583	25.45865	25.2311	25.16503	25.15402	
1291.15	29.86588	29.53556	29.10248	28.66939	28.21428	27.46922	26.84895	26.31676	25.86165	25.64144	25.34048	25.21569	25.15329	
1292.655	30.02363	29.66762	29.20517	28.7574	28.28394	27.52787	26.89659	26.36073	25.88359	25.65971	25.3404	25.21928	25.14954	
1294.162	30.08963	29.74096	29.28218	28.8234	28.34627	27.56818	26.94791	26.40104	25.92389	25.69634	25.36969	25.23388	25.14947	
