Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
313.20832	21.27622	21.34048	21.37576	21.46765	21.50738	21.52296	21.62348	21.67853	21.70423	21.75561	21.77763	21.77397	21.74827	21.65285
315.70857	21.26896	21.33322	21.36851	21.46039	21.50012	21.51203	21.61623	21.67128	21.69696	21.72632	21.7667	21.75202	21.73733	21.64925
318.20882	21.2763	21.33322	21.37218	21.46039	21.49278	21.50836	21.61255	21.66394	21.67494	21.71898	21.74468	21.74835	21.72999	21.63457
320.70907	21.2617	21.31862	21.35391	21.44212	21.47451	21.49376	21.58327	21.64933	21.66767	21.71172	21.74842	21.74108	21.72273	21.63097
323.20932	21.2691	21.31868	21.3503	21.43484	21.46723	21.47914	21.57599	21.63104	21.65306	21.69343	21.71546	21.7228	21.70812	21.62737
325.70857	22.13527	21.6123	21.42003	21.45686	21.48191	21.48648	21.56131	21.61636	21.64205	21.67141	21.70077	21.70445	21.69343	21.61269
328.20882	22.9538	22.14455	21.68068	21.62576	21.62144	21.56362	21.5577	21.60174	21.6201	21.66048	21.68984	21.69351	21.68984	21.60909
330.70907	23.59984	22.65845	22.00741	21.85706	21.82705	21.69949	21.60182	21.59448	21.61651	21.64954	21.67523	21.68258	21.68992	21.60917
333.20932	24.14311	23.12833	22.34882	22.14341	22.08038	21.8941	21.67531	21.61658	21.61658	21.6386	21.66429	21.67531	21.67164	21.59823
335.70957	24.6093	23.55047	22.69755	22.42242	22.34103	22.09602	21.78181	21.65702	21.64602	21.63867	21.65703	21.66437	21.6607	21.60197
338.20982	25.04238	23.95052	23.02054	22.69768	22.6163	22.32725	21.9176	21.71207	21.67171	21.64968	21.65703	21.6607	21.6607	21.58729
340.71007	25.43877	24.31754	23.32517	22.97662	22.88055	22.55113	22.04973	21.78915	21.72309	21.65703	21.64969	21.64969	21.65703	21.58362
343.20932	25.80954	24.65895	23.61886	23.24462	23.13387	22.77142	22.19295	21.87363	21.78189	21.68279	21.65343	21.64976	21.64609	21.58737
345.70957	26.14353	24.98193	23.90514	23.4942	23.38712	22.99531	22.3471	21.96539	21.84795	21.71582	21.66077	21.64976	21.63508	21.57269
348.20982	26.25372	25.23893	24.15846	23.73652	23.62209	23.21193	22.505	22.07191	21.9251	21.7526	21.67919	21.65717	21.63515	21.57276
350.71007	26.17672	25.31608	24.33838	23.93479	23.81302	23.40653	22.66289	22.17842	22.00592	21.78938	21.69762	21.66092	21.63156	21.55815
353.21032	26.24285	25.40423	24.4669	24.07065	23.96357	23.56074	22.8061	22.29593	22.10142	21.84817	21.72339	21.67567	21.6353	21.55823
355.71057	26.27963	25.49239	24.5881	24.20285	24.11412	23.70763	22.94197	22.41346	22.18591	21.9033	21.74548	21.69043	21.63538	21.5583
358.21082	26.27971	25.54386	24.67994	24.30203	24.22798	23.8325	23.06684	22.51631	22.28508	21.96577	21.78225	21.71252	21.64645	21.56204
360.71007	26.3054	25.5879	24.75701	24.38645	24.30506	23.92792	23.16961	22.61173	22.36215	22.01715	21.81162	21.73454	21.64645	21.55103
363.21032	26.31647	25.63935	24.82681	24.46726	24.39688	24.02709	23.2651	22.71456	22.4393	22.07961	21.84472	21.76397	21.65754	21.55477
365.71057	26.36045	25.687	24.90382	24.54793	24.48123	24.12612	23.35312	22.79891	22.53098	22.14928	21.8997	21.79694	21.67582	21.56204
368.21082	26.36419	25.72744	24.95894	24.61774	24.55103	24.20326	23.44494	22.87972	22.60446	22.2044	21.93648	21.82637	21.68323	21.56578
370.71107	26.37153	25.7568	25.01766	24.68747	24.61709	24.26932	23.52569	22.96414	22.6852	22.2668	21.98419	21.8594	21.69791	21.56578
373.21132	26.39003	25.78631	25.06553	24.72433	24.66863	24.33554	23.5919	23.03403	22.7514	22.33299	22.02469	21.8999	21.73107	21.57325
375.71157	26.39003	25.81934	25.10223	24.78672	24.72001	24.39426	23.66531	23.1111	22.81746	22.38804	22.06873	21.93293	21.74208	21.57325
378.21082	26.40112	25.83777	25.14635	24.81983	24.77147	24.45306	23.72411	23.17357	22.87626	22.43583	22.10184	21.95503	21.74583	21.56966
380.71107	26.41219	25.86353	25.17578	24.87127	24.81925	24.50451	23.78656	23.23603	22.9424	22.48729	22.14596	21.98814	21.76792	21.5734
383.21132	26.43795	25.88194	25.21988	24.91538	24.85601	24.55595	23.84168	23.29114	22.99385	22.5314	22.17539	22.01757	21.78634	21.57714
385.71157	26.44896	25.91497	25.26392	24.96309	24.9074	24.60734	23.89673	23.34987	23.05991	22.57911	22.21943	22.05794	21.81571	21.58815
388.21182	26.46004	25.9334	25.29703	25.00354	24.94417	24.64779	23.94452	23.405	23.10771	22.63791	22.27456	22.10206	21.8378	21.60291
390.71207	26.46364	25.948	25.31898	25.02915	24.97713	24.68441	23.98482	23.45998	23.15901	22.67454	22.31119	22.12768	21.85608	21.61017
393.21232	26.46747	25.95917	25.34116	25.06969	25.01766	24.72127	24.03636	23.50418	23.21422	22.73708	22.34804	22.1682	21.88926	21.62867
395.71157	26.47473	25.98112	25.37411	25.09897	25.05062	24.76891	24.08767	23.56282	23.26185	22.78472	22.39201	22.21216	21.9112	21.64695
398.21182	26.48215	25.99955	25.39988	25.13208	25.08373	24.80202	24.12445	23.60327	23.31331	22.8215	22.42878	22.24527	21.93697	21.65803
400.71207	26.48221	26.00328	25.41095	25.15416	25.10214	24.82043	24.16121	23.6327	23.36109	22.87662	22.4729	22.27471	21.95906	21.67279
403.21232	26.49322	26.01429	25.44032	25.17619	25.12416	24.84612	24.19792	23.67307	23.40514	22.92066	22.5096	22.31508	21.9921	21.68747
405.71257	26.49322	26.02897	25.46234	25.20555	25.14985	24.88283	24.22728	23.71711	23.44184	22.95003	22.53529	22.34444	22.01045	21.70215
408.21282	26.49689	26.04732	25.47702	25.23124	25.17554	24.90852	24.27132	23.75749	23.47854	23.00141	22.58667	22.38481	22.03981	21.71683
410.71307	26.50798	26.05107	25.49544	25.24967	25.20498	24.93428	24.29341	23.79793	23.51165	23.03085	22.61611	22.41058	22.06558	21.72425
413.21232	26.50439	26.05849	25.50287	25.27177	25.22341	24.95639	24.31919	23.82371	23.54843	23.06762	22.64188	22.43634	22.084	21.75001
415.71257	26.5154	26.07317	25.52489	25.29746	25.24177	24.98942	24.35589	23.85674	23.58513	23.10433	22.68592	22.47305	22.10969	21.76102
418.21282	26.5154	26.07684	25.53223	25.31948	25.26746	25.01511	24.38158	23.89711	23.62183	23.13736	22.71528	22.50241	22.14272	21.78304
420.71307	26.51173	26.08785	25.53957	25.32682	25.27847	25.02245	24.41461	23.91913	23.65853	23.16672	22.75565	22.5281	22.16475	21.80139
423.21332	26.52288	26.09166	25.56173	25.34898	25.29696	25.04828	24.44045	23.94129	23.68804	23.20724	22.77782	22.56862	22.18324	21.81622
425.71357	26.53389	26.099	25.58008	25.37101	25.31531	25.06296	24.4588	23.97065	23.7174	23.23293	22.80718	22.58697	22.20526	21.82723
428.21382	26.5228	26.10259	25.57633	25.3746	25.32257	25.0739	24.48441	23.99627	23.74302	23.26589	22.85115	22.61625	22.22354	21.84551
430.71307	26.54858	26.1247	25.60211	25.40404	25.35202	25.11068	24.51019	24.02938	23.76511	23.29532	22.87324	22.64569	22.25664	21.8676
433.21332	26.53764	26.12844	25.61319	25.4188	25.36677	25.1181	24.53963	24.06616	23.79822	23.32843	22.89534	22.67513	22.28241	21.88603
435.71357	26.5449	26.13571	25.6278	25.43708	25.38505	25.14004	24.56524	24.08444	23.8275	23.35771	22.93197	22.70441	22.30803	21.90797
438.21382	26.55225	26.14672	25.63514	25.46277	25.39973	25.16574	24.58726	24.1138	23.84585	23.38708	22.95766	22.73011	22.33372	21.92265
440.71407	26.54858	26.14672	25.63514	25.45543	25.40707	25.16941	24.59827	24.12481	23.88256	23.41644	22.99069	22.75213	22.35574	21.94467
443.21432	26.55599	26.1578	25.66091	25.48486	25.43651	25.19517	24.62771	24.16159	23.89732	23.43119	23.00178	22.76321	22.36683	21.94842
445.71457	26.5634	26.16888	25.66464	25.49227	25.44391	25.20625	24.64246	24.18367	23.92308	23.45329	23.03855	22.80366	22.39993	21.97418
448.21382	26.55239	26.17622	25.66831	25.50328	25.44758	25.21726	24.66081	24.19836	23.94877	23.48265	23.06424	22.82568	22.42195	21.99988
450.71407	26.55231	26.16513	25.67925	25.51421	25.46586	25.23553	24.68275	24.22764	23.96337	23.51193	23.08986	22.84762	22.4439	22.01448
453.21432	26.55966	26.17248	25.68293	25.52524	25.4622	25.25023	24.69744	24.246	23.99641	23.53396	23.12289	22.87699	22.46225	22.02916
455.71457	26.55965	26.17614	25.69393	25.53623	25.48054	25.25756	24.71211	24.26067	24.01476	23.55598	23.13757	22.89901	22.48427	22.05118
458.21482	26.55239	26.17255	25.68667	25.53631	25.4953	25.26497	24.7232	24.27543	24.02951	23.5744	23.15967	22.92478	22.5027	22.06227
