Time	Thermocouple1	Thermocouple2	Thermocouple3	Thermocouple4	Thermocouple5	Thermocouple6	Thermocouple7	Thermocouple8	Thermocouple9	Thermocouple10	Thermocouple11	Thermocouple12	Thermocouple13	Thermocouple14
seconds	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius	Celsius
18800.78	23.24446	23.30505	23.25206	23.41754	23.51972	23.54271	23.56769	23.58366	23.69451	23.62509	23.53817	23.5457	23.50076	23.22839
18803.28025	23.20041	23.27202	23.22636	23.38817	23.4977	23.51335	23.542	23.56531	23.66882	23.61409	23.53083	23.53836	23.49342	23.22839
18805.7795	23.14903	23.22063	23.18966	23.35147	23.461	23.48399	23.51998	23.54329	23.66148	23.60307	23.51982	23.52735	23.48975	23.22472
18808.27975	23.10138	23.18767	23.15669	23.32584	23.43537	23.45469	23.49802	23.525	23.63953	23.58479	23.49787	23.51274	23.48248	23.21378
18810.78	23.06829	23.14356	23.1236	23.28908	23.39494	23.4326	23.47227	23.50292	23.6211	23.57004	23.49046	23.509	23.47507	23.22105
18813.28025	23.02065	23.10326	23.0833	23.24878	23.36565	23.39231	23.43931	23.48464	23.59916	23.55911	23.4832	23.49807	23.47515	23.21746
18815.7805	22.98387	23.06648	23.05019	23.21567	23.33621	23.3592	23.42088	23.46254	23.56972	23.526	23.45743	23.47964	23.46039	23.20637
18818.28075	22.93629	23.02258	23.00996	23.18645	23.29598	23.33364	23.39533	23.43699	23.55886	23.51514	23.45023	23.47612	23.4642	23.21386
18820.781	22.88858	22.97853	22.97325	23.14608	23.26294	23.29694	23.35496	23.40763	23.53317	23.50046	23.43555	23.45777	23.44953	23.20652
18823.28025	22.84087	22.94917	22.94022	23.10937	23.22624	23.26758	23.33293	23.40029	23.50747	23.48577	23.42821	23.45777	23.45686	23.20652
18825.7805	22.79683	22.90146	22.90352	23.08368	23.19688	23.23088	23.31458	23.37093	23.50014	23.47109	23.40619	23.43941	23.44585	23.20285
18828.28075	22.7712	22.87216	22.86688	23.04337	23.16391	23.20525	23.28162	23.34897	23.47819	23.45282	23.40626	23.43949	23.43859	23.20659
18830.781	22.71989	22.83186	22.83392	23.01042	23.13095	23.17229	23.256	23.32702	23.45624	23.44188	23.37698	23.41387	23.42765	23.19565
18833.28125	22.6685	22.78415	22.80089	22.97371	23.09425	23.13559	23.2193	23.29399	23.43422	23.41986	23.36964	23.4102	23.42031	23.19565
18835.7815	22.62813	22.74378	22.76419	22.94068	23.06489	23.10623	23.19727	23.27197	23.41587	23.41252	23.36229	23.40286	23.41664	23.19565
18838.28175	22.58409	22.69606	22.72382	22.90765	23.02452	23.0732	23.16424	23.2426	23.40119	23.39417	23.34761	23.39552	23.41297	23.19198
18840.781	22.54372	22.6667	22.68711	22.87462	22.99149	23.04383	23.14222	23.22425	23.37916	23.37214	23.3366	23.37717	23.40563	23.18097
18843.28125	22.49967	22.62633	22.64674	22.83425	22.96579	23.01447	23.12754	23.20223	23.3498	23.35379	23.31825	23.36616	23.40196	23.18464
18845.7815	22.4593	22.58596	22.61738	22.81222	22.92909	22.98511	23.09451	23.18755	23.33145	23.33177	23.2999	23.35882	23.39095	23.18097
18848.28175	22.41526	22.54559	22.57701	22.77185	22.89973	22.95575	23.06882	23.16186	23.31677	23.32076	23.28889	23.35148	23.38361	23.1773
18850.782	22.36387	22.50154	22.54397	22.73515	22.86303	22.91538	23.03946	23.13617	23.29475	23.30241	23.28155	23.3368	23.36893	23.16996
18853.28225	22.31983	22.46117	22.50727	22.69477	22.82632	22.88601	23.01009	23.12149	23.26539	23.28406	23.2632	23.32579	23.36526	23.17363
18855.7825	22.2794	22.42808	22.47051	22.66168	22.78956	22.85292	22.977	23.08839	23.25063	23.26564	23.23744	23.30369	23.35418	23.16622
18858.28175	22.2391	22.39145	22.42654	22.62505	22.75294	22.81262	22.94771	23.05911	23.22135	23.24736	23.2265	23.29276	23.34691	23.15529
18860.782	22.1803	22.33999	22.3971	22.59562	22.71616	22.78319	22.92195	23.03701	23.20292	23.22527	23.21542	23.29268	23.33949	23.15888
18863.28225	22.13993	22.29595	22.3604	22.55524	22.68679	22.75749	22.89992	23.01866	23.18457	23.21425	23.20073	23.27433	23.33215	23.15888
18865.7825	22.10316	22.25918	22.31996	22.51481	22.6537	22.72073	22.86683	22.98923	23.15514	23.18849	23.18598	23.25591	23.32107	23.1478
18868.28275	22.06279	22.21881	22.28326	22.48545	22.62067	22.6877	22.83747	22.96354	23.13679	23.17381	23.16763	23.24857	23.31373	23.13312
18870.783	22.01141	22.17844	22.25023	22.44875	22.5803	22.65466	22.80811	22.93785	23.10008	23.14812	23.15295	23.23756	23.30639	23.13679
18873.28325	21.95627	22.13064	22.20243	22.41563	22.53984	22.61788	22.77499	22.90107	23.08166	23.13337	23.13086	23.21914	23.29898	23.12938
18875.7825	21.92318	22.09387	22.16934	22.37152	22.50674	22.58478	22.74557	22.88265	23.06324	23.11494	23.12345	23.20071	23.28056	23.12563
18878.28275	21.87546	22.04983	22.12897	22.33849	22.47371	22.54808	22.71253	22.85696	23.03021	23.09292	23.10142	23.18236	23.27689	23.11462
18880.783	21.83142	21.99845	22.09226	22.29445	22.43701	22.51505	22.69051	22.83127	23.01186	23.06356	23.0794	23.17135	23.26221	23.10361
18883.28325	21.79464	21.97635	22.07016	22.27235	22.39656	22.4746	22.65373	22.8055	22.98243	23.04514	23.06098	23.15293	23.25113	23.09987
18885.7835	21.74685	21.93223	22.02237	22.22456	22.36345	22.44883	22.63163	22.7834	22.95299	23.02304	23.04622	23.13817	23.2327	23.09245
18888.28375	21.69181	21.88086	21.97467	22.18053	22.32309	22.4048	22.59127	22.75038	22.93097	23.0047	23.02788	23.1235	23.22169	23.08145
18890.784	21.65503	21.84041	21.93789	22.14742	22.28631	22.37536	22.55816	22.72094	22.90887	22.97893	23.00945	23.1014	23.21427	23.0777
18893.28325	21.622	21.81472	21.91587	22.11806	22.24961	22.346	22.53981	22.70259	22.87584	22.95691	22.99477	23.07938	23.20327	23.07036
18895.7835	21.56335	21.75974	21.87191	22.0851	22.21665	22.31304	22.51053	22.66597	22.85023	22.93129	22.97282	23.06477	23.18499	23.05209
18898.28375	21.50447	21.71187	21.82037	22.02989	22.17245	22.26884	22.46633	22.64012	22.82806	22.91647	22.94699	23.06096	23.17383	23.05561
18900.784	21.49713	21.67884	21.79468	22.0042	22.14676	22.24315	22.44798	22.62544	22.80604	22.89811	22.93965	23.04628	23.16649	23.05194
18903.28425	21.52276	21.6751	21.76892	21.97844	22.11366	22.20639	22.40754	22.59968	22.78394	22.87235	22.92489	23.02418	23.15908	23.04086
18905.7845	21.53744	21.67877	21.75057	21.95275	22.09164	22.18069	22.38185	22.56298	22.75825	22.85033	22.8992	23.0095	23.14073	23.04453
18908.28475	21.56688	21.67885	21.74697	21.94182	22.07337	22.16976	22.36357	22.54103	22.7253	22.82838	22.88827	22.98756	23.12612	23.02993
18910.784	21.58515	21.68611	21.73222	21.92339	22.05127	22.13665	22.33413	22.50792	22.70687	22.80629	22.8625	22.97647	23.12238	23.0115
18913.28425	21.61451	21.69713	21.72855	21.91238	22.04393	22.12564	22.31211	22.48223	22.68852	22.78793	22.84415	22.96179	23.10403	23.00416
18915.7845	21.6402	21.70447	21.73222	21.90871	22.04026	22.11096	22.28642	22.45654	22.66282	22.76958	22.82213	22.93243	23.08935	22.99682
18918.28475	21.6731	21.73736	21.73942	21.91224	22.04012	22.10348	22.27527	22.43805	22.64065	22.74374	22.8073	22.92861	23.08553	22.98933
18920.785	21.69137	21.75197	21.75035	21.91217	22.04372	22.09974	22.26052	22.42696	22.6259	22.72532	22.78887	22.90284	23.07444	22.97824
18923.28525	21.72081	21.77406	21.77245	21.92692	22.04746	22.10715	22.26059	22.40869	22.60395	22.70704	22.77793	22.89191	23.04515	22.95996
18925.7855	21.74283	21.79241	21.78346	21.9416	22.0548	22.11082	22.25325	22.39401	22.5856	22.68502	22.74123	22.87355	23.03414	22.95629
18928.28475	21.7611	21.79967	21.78338	21.93051	22.05105	22.10707	22.23849	22.38292	22.56718	22.66293	22.73382	22.84779	23.01939	22.94154
